hale	 adj.  健壮的， 矍铄的
base	 adj.  卑鄙的
simplistic	 adj.  过分简单化的
subordinate	 adj. 次要的；下级的 n.  下级
trend	 v. 趋向，倾向 n.  趋势， 倾向
ungainly	 adj.  笨拙的
reminisce	 v.  追忆， 回想
itinerary	 n.  旅行路线
pugnacious	 adj.  好斗的
ragtime	 adj.  使人发笑的， 滑稽的 n. 雷格泰姆音乐
incentive	 n.  刺激， 诱因， 动机； 刺激因素
repudiate	 v.  拒绝接受， 回绝， 抛弃
maul	 v.  打伤， 伤害
stealth	 n.  秘密行动
preliminary	 adj.  预备的， 初步的， 开始的
devious	 adj.  不坦诚的； 弯曲的， 迂回的
obtrude	 v.  突出； 强加
exceptional	 adj.  特别的
understudy	 v.  充当…的替角 n. 预备演员，替角
impale	 v.  刺入， 刺穿
indict	 v.  控诉， 起诉
deputize	 v.  代理， 代表
convince	 v.  使某人确信； 说服
irritating	 adj.  刺激的； 使人愤怒的， 气人的
stampede	 v.  惊跑， 逃窜
terminate	 v.  终止， 结束
inoffensive	 adj.  无害的； 不讨厌的
extension	 n.  延伸， 扩展
inappreciable	 adj.  微不足道的
spanking	 adj.  强烈的； 疾行的
architect	 n.  建筑师
duplicitous	 adj.  两面派的， 奸诈的； 双重的
variability	 n.  变化性
stolid	 adj.  无动于衷的
boding	 adj.  凶兆的， 先兆的 n. 凶兆，前兆，预感
lout	 n.  蠢人， 笨蛋
antagonistic	 adj.  敌对的， 对抗性的
mortgage	 v.  用…作抵押 n. 抵押；抵押证书
falsify	 v.  篡改； 说谎
verify	 v.  证明， 证实
snobbish	 adj.  势利眼的； 假充绅士的
inaugurate	 v.  举行就职典礼； 创始， 开创
plenitude	 n.  完全； 大量
solitude	 n.  孤独
reward	 v.  酬谢， 奖赏 n. 报酬，奖赏
graze	 v.  吃草； 放牧
ebb	 v.  退潮； 衰退
pouch	 v.  使成袋状； 将装入袋内 n. 小袋
devout	 adj.  虔诚的； 忠诚的， 忠心的
comeuppance	 n.  应得的惩罚， 因果报应
distrait	 adj.  心不在焉的
bawl	 v.  大叫， 大喊
devour	 v.  狼吞虎咽地吃， 吞食； 贪婪地看
stir	 v.  刺激
escort	 v.  护送 n.  护送者
avarice	 n.  贪财， 贪婪
pretence	 n.  假装； 借口
termite	 n.  白蚁
libelous	 adj.  诽谤的
maze	 n.  迷宫
unqualified	 adj.  无资格的， 不合格的； 无限制的， 绝对的
thatch	 v. 以茅草覆盖 n.  茅草屋顶； 茅草
desolate	 adj.  荒凉的， 被遗弃的
uproarious	 adj.  骚动的； 喧嚣的； 令人捧腹大笑的
subdued	 adj.  柔和的， 缓和的； 温和的
chicanery	 n.  欺骗， 欺诈
snooze	 v.  打盹儿， 打瞌睡
incongruent	 adj.  不协调的， 不和谐的， 不合适的
exaggerate	 v.  夸大， 夸张； 过分强调
locution	 n.  语言风格； 惯用语
demean	 v.  贬抑， 降低
gerontocracy	 n.  老人统治的政府
spell	 n.  连续的一段时间
vex	 v.  使烦恼， 使恼怒
aberration	 n.  越轨
cavity	 n.  洞， 腔
finicky	 adj.  苛求的， 过分讲究的
provision	 n.  供应；条款
recruit	 v.  征募， 招募 n. 新兵；新成员
thrust	 v.  猛力推； 刺， 戳
demeanour	 n.  举止， 行为
commence	 v.  开始， 着手
sporadic	 adj.  不定时发生的
configuration	 n.  结构， 配置； 轮廓
spherical	 adj.  球的， 球状的
pollster	 n.  民意调查员
enmity	 n.  敌意， 仇恨
provenance	 n.  出处， 起源
extinct	 adj.  绝种的， 不存在的
monolithic	 adj.  坚若磐石的； 巨大的
martyr	 n.  烈士， 殉道者
opaque	 adj.  不透明的； 难懂的
grave	 adj. 严肃的，庄重的 n.  墓穴
advantage	 v.  有利于， 有益于 n. 利益，益处
tepid	 adj.  微温的； 不热情的
improvident	 adj.  无远见的， 不节俭的
embolden	 v.  鼓励
abortive	 adj.  无结果的， 失败的
far-reaching	 adj.  影响深远的
mordant	 adj.  讥讽的， 尖酸的
anticipate	 v.  预先处理； 预期， 期望
fabricate	 v.  捏造； 制造
bullion	 n.  金条， 银条
temporary	 adj.  暂时的， 临时的
habitat	 n.  自然环境， 栖息地
optimal	 adj.  最佳的， 最理想的
hardheaded	 adj.  讲究实际的， 冷静的， 精明的
sacrament	 n.  圣礼， 圣事
frothy	 adj.  起泡的； 空洞的
self-righteousness	 n.  自以为是
anguish	 n.  极大的痛苦
chimera	 n.  神话怪物； 梦幻
vie	 v.  竞争
refraction	 n.  折射
enclosure	 n.  圈地， 围场
absent	 v. 缺席，不参加away) adj.  缺席的
emasculate	 v. 使柔弱；阉割 adj.  柔弱的
ragged	 adj.  褴褛的， 破烂的
sanctuary	 n.  圣地； 庇护所， 避难所； 庇护
snobbery	 n.  势利
conundrum	 n.  谜语； 难题
inspired	 adj.  有创见的， 有灵感的
economy	 adj.  经济的 n. 节约；经济
interdisciplinary	 adj.  跨学科的
staunch	 adj.  坚定的， 忠诚的
coeval	 adj.  同时代的
orchard	 n.  果园
heartfelt	 adj.  衷心的， 诚挚的
pilfer	 v.  偷窃
notch	 n.  V字形切口， 刻痕； 等级， 档次
despotic	 adj.  专横的， 暴虐的
discomfit	 v.  使难堪， 使困惑
vista	 n.  远景； 展望
insoluble	 adj.  不能溶解的； 不能解决的
appropriate	 v. 拨款；盗用 adj.  恰当的
exhale	 v.  呼出； 呼气； 散发
resignation	 n.  听从， 顺从； 辞职
cede	 v.  割让， 放弃
shiftless	 adj.  没出息的， 懒惰的； 无能的
clannish	 adj.  排他的， 门户之见的
misrepresentation	 n.  误传， 不实的陈述
typify	 v.  代表， 是…的典型
perceptive	 adj.  感知的， 知觉的； 有洞察力的， 敏锐的
stagnant	 adj.  停滞的
cultivated	 adj.  耕种的， 栽培的； 有教养的 having or showing good taste and refinement)
density	 n.  密集， 稠密
dreary	 adj.  沉闷的， 乏味的
stunt	 v. 阻碍 n.  特技， 绝技
characterize	 v.  表现…的特色， 刻画…的性格
ridiculous	 adj.  荒谬的， 可笑的
severe	 adj.  严厉的； 剧烈的
monopolize	 v.  垄断， 独占
lease	 v.  出租 n. 租约；租期
exploit	 v.  剥削； 充分利用 n.  英勇行为
sprint	 v.  短距离全速奔跑
errand	 n.  差使； 差事
flamboyant	 adj.  艳丽的， 显眼的， 炫耀的
entangle	 v.  使卷入
amity	 n.  友好关系
garnish	 v.  装饰
repellent	 adj.  令人厌恶的
stun	 v.  使震惊， 打晕
ethics	 n.  伦理学； 道德规范
suspense	 n.  悬念； 挂念
multicellular	 adj.  多细胞的
mollify	 v.  安慰， 安抚
assessment	 n.  估价， 评价
autonomy	 n.  自治， 自主
unmoved	 adj.  无动于衷的， 冷漠的
eulogy	 n.  颂词， 颂文
melon	 n.  甜瓜
kindle	 v.  着火， 点燃
cephalic	 adj.  头的， 头部的
nefarious	 adj.  极恶毒的， 邪恶的
inroad	 n.  袭击； 进展
testy	 adj.  暴躁的， 易怒的
lasting	 adj.  持久的， 永久的
tortuous	 adj.  曲折的， 拐弯抹角的； 弯弯曲曲的
unwarranted	 adj.  没有根据的
rigidity	 n.  严格； 坚硬， 僵硬
counterclockwise	 adj&adv.  逆时针方向的
narcotic	 adj.  麻醉的， 催眠的 n. 麻醉剂
paucity	 n.  少量； 缺乏
calamity	 n.  大灾祸， 不幸之事
strand	 v.  搁浅 n. 股，缕
accomplish	 v.  完成， 做成功
constituent	 n.  成分； 选区内的选民
platitudinous	 adj.  陈腐的
repercussion	 n.  反响； 反应， 影响； 回声
packed	 adj.  压紧的， 压实的； 充满人的， 拥挤的
preoccupation	 n.  全神贯注， 专注； 使人专注的东西
aplomb	 n.  沉着， 镇静
impracticability	 n.  无法实施； 不能实施的事项
scud	 v.  疾行， 飞奔
impermeability	 n.  不渗透性
slippery	 adj.  滑的； 狡猾的
forum	 n.  辩论的场所， 论坛
contempt	 n&v.  轻视， 鄙视
vouch	 v.  担保， 保证
pulpit	 n.  讲道坛
fulminate	 v.  猛烈抨击， 严厉谴责
betray	 v.  背叛； 暴露
apropos	 adj&adv.  适当的)； 有关(with reference to； regarding)
discretionary	 adj.  自由决定的
gutless	 adj.  没有勇气的， 怯懦的
occupation	 n.  工作， 职业； 占有， 占领
charter	 n.  特权或豁免权
apex	 n.  顶点， 最高点
aspire	 v.  渴望， 追求， 向往
burdensome	 adj.  繁重的， 劳累的
narrow	 adj. 狭窄的；狭隘的 v.  变窄
bastion	 n.  保垒， 防御工事
abrasive	 adj.  研磨的
passively	 adv.  被动地， 顺从地
decadence	 n.  衰落， 颓废
contradict	 v.  反驳， 驳斥
ecological	 adj.  生态的； 生态学的
fleeting	 adj.  短暂的； 飞逝的
momentous	 adj.  极为重要的， 重大的
allegiance	 n.  忠诚， 拥护
forte	 adj.  强音的 n. 长处，特长
gravel	 n.  碎石， 砂砾
dissonant	 adj.  不和谐的， 不一致的
converge	 v.  聚合， 集中于一点； 汇聚
pertinent	 adj.  有关的， 相关的
supercilious	 adj.  目中无人的
debility	 n.  衰弱， 虚弱
malediction	 n.  诅咒
epitomize	 v.  概括， 摘要
pauper	 n.  贫民； 乞丐
vacillate	 v.  游移不定， 踌躇
surreptitious	 adj.  鬼鬼祟祟的
spineless	 adj.  没骨气的， 懦弱的
elucidate	 v.  阐明， 说明
umpire	 v.  对…进行仲裁 n. 仲裁者
downpour	 n.  倾盆大雨
askew	 adj&adv.  歪斜的
imponderable	 adj.  无法衡量的
endue	 v.  赋予， 授予
cloudburst	 n.  大暴雨
dispel	 v.  驱散， 消除
supplicate	 v.  恳求， 祈求
ignominious	 adj.  可耻的； 耻辱的
spice	 v.  给…调味 n. 香料
pedagogy	 n.  教育学， 教学法
autonomous	 adj.  自治的； 自主的
perception	 n.  感知， 知觉； 洞察力
vandalism	 n.  恶意破坏
catalyze	 v.  促使； 激励
undertake	 v.  承担； 担保， 保证
byproduct	 n.  副产品； 副作用
bridle	 v.  抑制， 控制 n. 马笼头
deprivation	 n.  剥夺； 丧失
introvert	 n.  性格内向的人
entrance	 v.  使出神， 使入迷
motley	 adj.  混杂的； 多色的， 杂色的
charlatan	 n.  江湖郎中， 骗子
anticipatory	 adj.  预想的， 预期的
acoustic	 adj.  听觉的， 声音的
articulate	 v.  清楚地说话； 连接
impending	 adj.  即将发生的， 逼近的
traverse	 v.  横穿， 横跨
rigorous	 adj.  严格的， 严峻的
secular	 adj.  世俗的， 尘世的
effete	 adj.  无生产力的； 虚弱的
activate	 v.  刺激， 使活动
endow	 v.  捐赠； 赋予
supportive	 adj.  支持的
indent	 v.  切割成锯齿状
financial	 adj.  财政的， 金融的
ferocity	 n.  凶猛， 残暴
enormity	 n.  极恶； 暴行； 巨大
plaudit	 v.  喝彩， 赞扬
demoralize	 v.  使士气低落
righteousness	 n.  正当， 正义， 正直
exalt	 v.  赞扬， 歌颂
promissory	 adj.  允诺的， 约定的
gusher	 n.  滔滔不绝的说话者； 喷油井
spiel	 n.  滔滔不绝的讲话
commensurate	 adj.  同样大小的； 相称的
diaphanous	 adj.  精致的； 半透明的
render	 v.  呈递， 提供； 给予， 归还
unmitigated	 adj.  未缓和的， 未减轻的
armored	 adj.  披甲的， 装甲的
relieve	 v.  减轻， 解除
indignity	 n.  侮辱， 轻蔑； 侮辱性的行为
choreographic	 adj.  舞蹈术的， 舞台舞蹈的
transpose	 v.  颠倒顺序， 调换
needle	 n.  针； 针叶
neologism	 n.  新字， 新词
hiatus	 n.  空隙， 裂缝
axiom	 n.  公理； 定理
summon	 v.  传唤； 召集
expertise	 n.  专门技术， 专业知识
annihilate	 v.  消灭
feckless	 adj.  无效的， 效率低的； 不负责任的
pivot	 v.  旋转 n. 枢轴，中心
rabid	 adj.  患狂犬病的； 疯狂的， 狂暴的
remorse	 n.  懊悔， 悔恨
palatial	 adj.  宫殿般的； 宏伟的
dissuade	 v.  劝阻， 阻止
conclusive	 adj.  最后的， 结论的， 决定性的； 确凿的， 消除怀疑的
encompass	 v.  包围， 围绕
waver	 v.  摇摆； 踌躇
velvety	 adj.  天鹅绒般柔软光滑的； 醇口的， 可口的
impermissible	 adj.  不容许的
deposit	 v.  存放； 使沉积)
querulous	 adj.  抱怨的， 爱发牢骚的
deface	 v.  损坏
fluctuation	 n.  波动， 起伏， 涨落
impassive	 adj.  无动于衷的， 冷漠的
brackish	 adj.  微咸的； 难吃的
upfront	 adj.  坦率的
occult	 adj.  秘密的， 不公开的
simultaneous	 adj.  同时发生的
improvise	 v.  即席创作
guarantee	 v.  保证， 担保
demobilize	 v.  遣散， 使复员
pounce	 v.  猛扑； 突然袭击 n. 爪；猛扑
leach	 v.  过滤
bifurcate	 v.  分为两支， 分叉
knack	 n.  特殊能力； 窍门
default	 v.  不履行 n. 违约；未履行的责任；拖欠
indolent	 adj.  懒惰的
indemnify	 v.  赔偿， 偿付
insane	 adj.  疯狂的
mawkish	 adj.  自作多情的， 过度伤感的； 淡而无味的， 令人作呕的
effulgent	 adj.  灿烂的， 光辉的
indenture	 n. 〔旧时的〕师徒契约
synergic	 adj.  协同作用的
frisky	 adj.  活泼的， 快活的
triumph	 v.  成功， 获胜 n. 成功，胜利
slumber	 v. 睡眠，安睡 n.  睡眠
defray	 v.  支付， 支出
ratification	 n.  正式批准
optimum	 adj.  最有利的， 最理想的
consensus	 n.  意见一致
embellish	 v.  装饰， 美化
outmaneuver	 v.  以策略制胜
retract	 v.  撤回， 取消； 缩回， 拉回
countenance	 v. 支持，赞成 n.  表情
gnawing	 adj.  痛苦的， 折磨人的 n. 啃，咬
pulchritude	 n.  美丽， 标致
pettish	 adj.  易怒的， 闹情绪的
colloquial	 adj.  口语的， 口头的
unnoteworthy	 adj.  不显著的， 不值得注意的
remains	 n.  残余， 遗迹
incorporate	 v.  合并， 并入
clemency	 n.  温和； 仁慈， 宽厚
summation	 n.  总结， 概要； 总数， 合计
fossilized	 adj.  变成化石的
incomplete	 adj.  不完全的， 不完整的
textured	 adj.  手摸时有感觉的； 有织纹的
radicalism	 n.  激进主义
counterpart	 n.  相对应或具有相同功能的人或物
demarcate	 v.  划分， 划界
pendulum	 n.  摆， 钟摆
lackluster	 adj.  无光泽的； 呆滞的
odometer	 n.  里程表)
superb	 adj.  上乘的， 出色的
baroque	 adj.  过分装饰的
transcontinental	 adj.  横贯大陆的
nonchalance	 n.  冷漠， 冷淡
duplicate	 adj.  复制的， 两重的 v. 复制 n.  复制品， 副本
affable	 adj.  和蔼的； 友善的
unbridled	 adj.  放纵的， 不受约束的
diatribe	 n.  抨击
eradicate	 v.  根除； 扑灭
gauche	 adj.  笨拙的， 不会社交的
solemnity	 n.  庄严， 肃穆
remand	 v.  遣回； 召回
patriotism	 n.  爱国主义， 爱国心
accomplice	 n.  共犯， 同谋
submit	 v.  屈服； 提交， 呈递
snatch	 v. 强夺，攫取 n.  强夺， 攫取
sun-bronzed	 adj.  被太阳晒成古铜色的
contrition	 n.  悔罪， 痛悔
durable	 adj.  持久的； 耐用的
impose	 v.  征收； 强加
thrash	 v.  鞭打
trademark	 v.  保证商标权 n. 特征；商标
perfervid	 adj.  过于热心的
rack	 v.  使痛苦不堪， 使受折磨
dumbfound	 v.  使…惊讶
paleolithic	 adj.  旧石器时代的
wan	 adj.  虚弱的； 病态的
wax	 v.  给…上蜡； 增大； 渐满 n. 蜡
arable	 adj.  适于耕种的
stellar	 adj.  星的， 星球的
stipple	 v.  点画， 点描
obverse	 n&adj.  正面
flippant	 adj.  无礼的； 轻率的
lowbred	 adj.  粗野的， 粗俗的
fad	 n.  时尚
underwrite	 v.  同意负担…的费用； 通过保单承担
mangle	 v.  毁坏， 毁损； 损坏
insurrection	 n.  造反， 叛乱
synonymous	 adj.  同义的
moribund	 adj.  即将结束的； 垂死的
raff	 n.  大量， 许多
unscathed	 adj.  未受损伤的， 未受伤害的
embed	 v.  牢牢插入， 使嵌入
bashfulness	 n.  羞怯
ambivalent	 adj.  有矛盾看法的
esoteric	 adj.  秘传的； 机密的， 隐秘的
ruthlessness	 n.  无情， 冷酷， 残忍
gaff	 n.  大鱼钩， 鱼叉； 【海】斜桁
rendering	 n.  表演； 翻译
pedantry	 n.  迂腐
tranquility	 n.  宁静， 安静
browse	 v. 吃草；浏览 n.  嫩叶； 嫩芽
elated	 adj.  得意洋洋的， 振奋的
chorale	 n.  赞美诗； 合唱队
intensify	 v.  使加剧
pensive	 adj.  沉思的； 忧心忡忡的
piety	 n.  孝顺， 孝敬)； 虔诚(religious devotion and reverence to God； devoutness)
gain	 n.  利润， 收获
engross	 v.  全神贯注于
flustered	 adj.  慌张的， 激动不安的
tragic	 adj.  悲惨的
raspy	 adj.  刺耳的； 易怒的
sterilize	 v.  使不育； 杀菌
relieved	 adj.  宽慰的， 如释重负的
grin	 v.  露齿而笑； 眦牙咧嘴
quaint	 adj.  离奇有趣的； 古色古香的
discursive	 adj.  散漫的， 不得要领的
explore	 v.  探究； 勘探； 考察
egoist	 n.  自我主义者
grit	 v.  下定决心， 咬紧牙关 n. 沙粒；决心，勇气
climate	 n.  气候； 风气
cosmos	 n.  宇宙
recherche	 adj.  精心挑选的； 异国风味的
egoism	 n.  利己主义
peripatetic	 adj.  巡游的， 流动的
disembodied	 adj.  无实体的， 空洞的
criticize	 v.  评论, 批评； 挑剔
wanton	 adj.  无节制的， 肆无忌惮的； 嬉戏的， 淘气的
rage	 v.  狂怒， 大发雷霆 n. 盛怒
behold	 v.  注视， 看见
hull	 v.  剥去外壳 n. 外壳；船身
indebted	 adj.  感激的， 蒙恩的
grim	 adj.  冷酷的， 可怕的
pharmaceutical	 adj.  制药的， 卖药的
arrest	 v.  逮捕； 阻止， 制止
retrace	 v.  回顾， 追溯
abnegate	 v.  否认， 放弃
discontent	 v. 使不满 adj.  不满的 n. 不满
subservient	 adj.  次要的， 从属的； 恭顺的
protocol	 n.  外交礼节； 协议， 草案
provoke	 v.  激怒； 引起； 驱使
commercialize	 v.  使商业化， 使商品化
remonstrate	 v.  抗议； 告诫
gruesome	 adj.  令人毛骨悚然的， 阴森的
rapprochement	 n.  友好， 友善关系的建立
repugnant	 adj.  令人厌恶的
haphazardly	 adv.  偶然地； 随意地； 杂乱地
flagellate	 v.  鞭打， 鞭笞
tranquil	 adj.  平静的
choleric	 adj.  易怒的， 暴躁的
strait	 adj.  狭窄的 n. 海峡
fastidious	 adj.  难取悦的， 挑剔的
personally	 adv.  亲自； 作为个人
invigorate	 v.  鼓舞， 使精力充沛
self-adulation	 n.  自我吹捧
elementary	 adj.  初级的
inhale	 v.  吸入， 吸气
